acct_num,card_num,card_type,customer_id
7002104538487870,650-7899-5464-2718,Gold Card,100001
7458571171799350,220-9022-9547-5120,Platinum,100001
8246651202116980,2761-340-3872-9536,Lux,100002
4015600111336860,1294-3055-9650-8870,Gold Card,100002
6315622836224210,1020-9426-7643-250,Basic,100003
3876670891802730,8076-6119-7193-3729,Basic+,100005
2340833546193750,4331-3120-9755-1896,Basic+,100007
6235313033103080,154-2718-2765-5935,Basic+,100009
9537107145451970,8056-1769-4069-4299,Lux,100009
7786466075049710,1084-3823-4323-9313,Lux,100010
8946445464648450,3318-6543-6865-8013,Basic,100011
2025969379663650,7630-8733-6090-4081,Miles,100012
8091017747626880,2615-9574-4559-6518,Gold Card,100013
3279142949591080,2809-7901-3816-562,Premier,100013
3521907245206260,4819-6746-302-960,Miles,100013
2104935811823370,4250-4866-4501-544,Miles,100014
3933933635111620,5751-113-5871-3025,Basic,100015
9546772298766220,899-9535-6823-3002,Miles,100016
4087516185887690,9074-8367-3771-4787,Lux,100017
5767884700196760,781-6674-8355-463,Lux,100018
1782401859950790,178-3110-6056-6538,Basic,100019
1924123302885360,2619-6196-9878-9715,Platinum,100020
4528064673570080,6191-7702-3982-3795,Lux,100022
796889312580165,5432-6110-9872-1135,Basic,100025
2949014198689980,8146-5647-6866-713,Miles,100027
8227786260820010,5081-1924-9827-7654,Basic+,100028
2709706089325130,7185-8143-423-1051,Miles,100030
34279716299452,8446-1119-1801-3337,Basic,100031
8027750743572110,90-7632-1337-8349,Basic+,100034
2594856060771270,9537-4929-3752-7892,Basic+,100036
387691973303113,4241-4371-3905-7773,Basic+,100038
2093765440248830,2022-3865-3762-4017,Basic,100038
5862929735519970,2605-1917-7932-701,Basic+,100039
5994939888265120,8126-9269-6198-6095,Basic,100040
5455992500180510,5605-5586-9399-7857,Miles,100041
1244659670064100,937-7998-9842-4460,Platinum,100042
9042699976116220,5964-5112-1648-9669,Lux,100044
5848142494690150,8049-4654-455-6480,Lux,100045
801856815331717,5521-5486-231-3567,Miles,100045
1501102657919020,1891-6042-3377-2730,Basic,100047
8138794195072450,3526-3222-6025-6089,Basic+,100048
9821299388077390,6840-9679-1355-7026,Miles,100050
5244769292087460,140-8334-252-6366,Platinum,100051
6365782525566410,7872-4322-1392-9446,Gold Card,100051
9865244297297620,3740-3422-7426-9688,Lux,100052
8701766357584090,2336-8250-2106-1559,Lux,100053
2410523309845600,5938-6495-8318-4873,Lux,100055
2747053018273430,7423-5467-9995-5384,Gold Card,100056
3018720645252350,9361-4640-9457-5571,Super-Lux,100056
6660309204725790,9057-8411-31-6747,Lux,100059
4367791471125860,2084-7830-6870-7735,Miles,100060
178955915203911,274-3407-6882-2502,Basic+,100062
6130999368054020,7961-2732-5191-4198,Platinum,100063
3648125037981450,7651-8286-3138-6435,Basic+,100064
6392467166417330,3085-2357-1591-680,Basic,100065
6617291120803740,3610-9773-5629-3781,Platinum,100067
761373274535335,2521-5131-3328-1089,Gold Card,100067
6952354983259780,3425-4555-473-7773,Basic+,100068
6293938330491760,4609-1925-205-2893,Gold Card,100069
3456953929541320,4413-3435-7716-7457,Miles,100071
8792907853366060,564-498-9647-6019,Miles,100072
387409590932545,1743-912-8426-8065,Basic+,100072
8580580630454110,7440-4369-6685-222,Premier,100073
5512979804025770,8666-616-7008-7334,Miles,100074
5022555228778810,7257-2213-1188-832,Basic,100074
2148101803786830,8855-3280-3830-9612,Miles,100075
1396119118990610,9711-4592-8780-978,Basic,100077
4662818675382800,9453-2308-4533-9960,Lux,100078
5497007842246510,4925-5645-2561-4183,Platinum,100078
2346095828831840,657-3278-2474-2748,Miles,100080
4887929466213860,9307-8746-8792-4312,Lux,100081
2829479640162510,4825-6747-2132-7878,Basic+,100082
4278250970194250,9958-2196-5198-3612,Basic,100082
3728567739846320,1418-8233-9210-3654,Miles,100083
2007132139467840,7203-5015-1387-801,Lux,100084
696872506633784,4292-6228-9156-8657,Gold Card,100088
1989489078406790,3652-6896-9296-9027,Basic,100089
